acc_X(g)	acc_Y(g)	acc_Z(g)	Time	Cluster
0.949	0.162	0.074	2024-01-02 18:02:26.933	2
0.914	0.182	0.037	2024-01-02 18:02:26.994	2
1.043	0.233	0.016	2024-01-02 18:02:27.114	2
0.948	0.272	0.003	2024-01-02 18:02:27.204	2
0.879	0.262	-0.041	2024-01-02 18:02:27.324	2
0.841	0.313	-0.111	2024-01-02 18:02:27.389	2
0.885	0.431	-0.212	2024-01-02 18:02:27.508	2
0.898	0.46	-0.276	2024-01-02 18:02:27.594	2
0.879	0.431	-0.305	2024-01-02 18:02:27.714	2
0.839	0.414	-0.331	2024-01-02 18:02:27.806	2
0.795	0.449	-0.371	2024-01-02 18:02:27.924	2
0.792	0.46	-0.398	2024-01-02 18:02:27.991	2
0.781	0.485	-0.408	2024-01-02 18:02:28.103	2
0.755	0.476	-0.43	2024-01-02 18:02:28.194	2
0.751	0.503	-0.486	2024-01-02 18:02:28.315	2
0.729	0.456	-0.47	2024-01-02 18:02:28.407	2
0.732	0.432	-0.48	2024-01-02 18:02:28.524	2
0.73	0.486	-0.499	2024-01-02 18:02:28.614	2
0.756	0.476	-0.481	2024-01-02 18:02:28.735	2
0.751	0.468	-0.476	2024-01-02 18:02:28.793	2
0.729	0.5	-0.489	2024-01-02 18:02:28.913	2
0.739	0.44	-0.479	2024-01-02 18:02:29.340	2
0.746	0.476	-0.487	2024-01-02 18:02:29.124	2
0.729	0.464	-0.468	2024-01-02 18:02:29.214	2
0.735	0.47	-0.476	2024-01-02 18:02:29.336	2
0.732	0.485	-0.479	2024-01-02 18:02:29.393	2
0.777	0.469	-0.467	2024-01-02 18:02:29.514	2
0.747	0.461	-0.446	2024-01-02 18:02:29.603	2
0.757	0.461	-0.472	2024-01-02 18:02:29.722	2
0.766	0.452	-0.469	2024-01-02 18:02:29.813	2
0.759	0.479	-0.463	2024-01-02 18:02:29.935	2
0.747	0.472	-0.454	2024-01-02 18:02:30.230	2
0.742	0.471	-0.45	2024-01-02 18:02:30.144	2
0.753	0.457	-0.44	2024-01-02 18:02:30.203	2
0.719	0.485	-0.448	2024-01-02 18:02:30.323	2
0.868	0.485	-0.466	2024-01-02 18:02:30.415	2
0.727	0.406	-0.436	2024-01-02 18:02:30.534	2
0.773	0.468	-0.46	2024-01-02 18:02:30.623	2
0.819	0.429	-0.416	2024-01-02 18:02:30.744	2
